Date,Initial Claims - Composite
2000-09-01,233557.6
2000-10-01,270200
2000-11-01,333290
2000-12-01,458103.8
2001-01-01,500976
2001-02-01,381069.75
2001-03-01,354263.2
2001-04-01,366959.75
2001-05-01,338172.25
2001-06-01,362992.2
2001-07-01,447490
2001-08-01,324899.5
2001-09-01,339967.8
2001-10-01,433769.5
2001-11-01,439872.25
2001-12-01,543054.6
2002-01-01,606644
2002-02-01,407060
2002-03-01,375395.4
2002-04-01,403429.75
2002-05-01,354073.25
2002-06-01,352301.8
2002-07-01,424115.25
2002-08-01,319722.8
2002-09-01,323066.25
2002-10-01,369205
2002-11-01,403918
2002-12-01,534516.5
2003-01-01,580391.5
2003-02-01,418658.25
2003-03-01,393488.6
2003-04-01,407398.25
2003-05-01,363067.2
2003-06-01,393833.75
2003-07-01,453446.25
2003-08-01,325296.8
2003-09-01,314275
2003-10-01,346861.25
2003-11-01,369296
2003-12-01,459878.5
2004-01-01,502007
2004-02-01,361294.75
2004-03-01,313078
2004-04-01,325909.75
2004-05-01,294218.4
2004-06-01,315846.5
2004-07-01,356835.2
2004-08-01,276322
2004-09-01,271018.25
2004-10-01,304253.4
2004-11-01,334987.25
2004-12-01,416405.5
2005-01-01,485570.4
2005-02-01,312817.75
2005-03-01,305306.25
2005-04-01,302215
2005-05-01,288484.5
2005-06-01,295591
2005-07-01,337237.6
2005-08-01,257638.75
2005-09-01,308159.75
2005-10-01,319241.4
2005-11-01,320911
2005-12-01,420991
2006-01-01,407929.5
2006-02-01,293413.5
2006-03-01,282809.5
2006-04-01,281643.4
2006-05-01,294023.25
2006-06-01,277774.75
2006-07-01,329793
2006-08-01,258830.25
2006-09-01,255498
2006-10-01,292990
2006-11-01,326015.25
2006-12-01,424005.8
2007-01-01,435077.5
2007-02-01,326745.25
2007-03-01,287591.6
2007-04-01,304459.75
2007-05-01,269290
2007-06-01,289955.4
2007-07-01,339296.25
2007-08-01,265183.75
2007-09-01,253605
2007-10-01,303967
2007-11-01,331190.5
2007-12-01,448652.4
2008-01-01,463884.5
2008-02-01,353432
2008-03-01,336191.4
2008-04-01,348589.25
2008-05-01,321689
2008-06-01,362247.25
2008-07-01,413883
2008-08-01,360319.6
2008-09-01,376895.5
2008-10-01,436607.25
2008-11-01,533118
2008-12-01,706759.75
2009-01-01,751011
2009-02-01,645399.5
2009-03-01,610798.25
2009-04-01,603455.5
2009-05-01,537335.2
2009-06-01,569838.25
2009-07-01,592520.5
2009-08-01,468175.4
2009-09-01,443891.75
2009-10-01,484431.6
2009-11-01,506423
2009-12-01,591995.5
2010-01-01,636509.4
2010-02-01,481840.75
2010-03-01,431879.25
2010-04-01,450319
2010-05-01,411580
2010-06-01,429740.25
2010-07-01,460848.2
2010-08-01,399761.25
2010-09-01,369636.5
2010-10-01,411990
2010-11-01,434986
2010-12-01,524686.25
2011-01-01,570563.2
2011-02-01,399972
2011-03-01,372733.5
2011-04-01,397504.2
2011-05-01,379359.75
2011-06-01,392085.75
2011-07-01,415999.8
2011-08-01,345513.25
