DATE,Reconstructed CPI
1899-11-01,7.677172562
1899-12-01,7.677172562
01-01-1900,7.775597852
01-02-1900,7.775597852
01-03-1900,7.775597852
01-04-1900,7.775597852
01-05-1900,7.679602816
01-06-1900,7.679602816
01-07-1900,7.679602816
01-08-1900,7.679602816
01-09-1900,7.679602816
01-10-1900,7.778059263
01-11-1900,7.778059263
01-12-1900,7.778059263
01-01-1901,7.778059263
01-02-1901,7.778059263
01-03-1901,7.778059263
01-04-1901,7.876515709
01-05-1901,7.876515709
01-06-1901,7.876515709
01-07-1901,7.876515709
01-08-1901,7.876515709
01-09-1901,7.876515709
01-10-1901,7.974972156
01-11-1901,7.974972156
01-12-1901,8.073428602
01-01-1902,7.977316357
01-02-1902,7.977316357
01-03-1902,7.977316357
01-04-1902,8.075801744
01-05-1902,8.174287131
01-06-1902,8.174287131
01-07-1902,8.174287131
01-08-1902,8.174287131
01-09-1902,8.272772518
01-10-1902,8.472116434
01-11-1902,8.281731795
01-12-1902,8.38032384
01-01-1903,8.38032384
01-02-1903,8.38032384
01-03-1903,8.38032384
01-04-1903,8.38032384
01-05-1903,8.38032384
01-06-1903,8.38032384
01-07-1903,8.283998279
01-08-1903,8.283998279
01-09-1903,8.283998279
01-10-1903,8.283998279
01-11-1903,8.283998279
01-12-1903,8.187672718
01-01-1904,8.286319377
01-02-1904,8.384966036
01-03-1904,8.384966036
01-04-1904,8.288587116
01-05-1904,8.288587116
01-06-1904,8.288587116
01-07-1904,8.387260772
01-08-1904,8.387260772
01-09-1904,8.387260772
01-10-1904,8.485934428
01-11-1904,8.485934428
01-12-1904,8.485934428
01-01-1905,8.584608085
01-02-1905,8.584608085
01-03-1905,8.584608085
01-04-1905,8.683281741
01-05-1905,8.492440384
01-06-1905,8.492440384
01-07-1905,8.591189691
01-08-1905,8.591189691
01-09-1905,8.591189691
01-10-1905,8.689938997
01-11-1905,8.689938997
01-12-1905,8.689938997
01-01-1906,8.788688304
01-02-1906,8.788688304
01-03-1906,8.788688304
01-04-1906,8.788688304
01-05-1906,8.788688304
01-06-1906,8.788688304
01-07-1906,8.788688304
01-08-1906,8.788688304
01-09-1906,8.887437611
01-10-1906,8.986186918
01-11-1906,8.986186918
01-12-1906,9.084936224
01-01-1907,9.084936224
01-02-1907,9.084936224
01-03-1907,9.084936224
01-04-1907,9.183685531
01-05-1907,9.087015157
01-06-1907,9.087015157
01-07-1907,9.087015157
01-08-1907,9.087015157
01-09-1907,9.087015157
01-10-1907,9.087015157
01-11-1907,8.895709575
01-12-1907,8.895709575
01-01-1908,8.895709575
01-02-1908,8.79901708
01-03-1908,8.79901708
01-04-1908,8.79901708
01-05-1908,8.89788244
01-06-1908,8.89788244
01-07-1908,8.89788244
01-08-1908,8.89788244
01-09-1908,8.89788244
01-10-1908,8.89788244
01-11-1908,8.996747801
01-12-1908,8.996747801
01-01-1909,9.095613161
01-02-1909,9.095613161
01-03-1909,9.095613161
01-04-1909,9.095613161
01-05-1909,9.194478521
01-06-1909,9.293343882
01-07-1909,9.293343882
01-08-1909,9.293343882
01-09-1909,9.293343882
01-10-1909,9.392209242
01-11-1909,9.491074603
01-12-1909,9.491074603
01-01-1910,9.491074603
01-02-1910,9.491074603
01-03-1910,9.589939963
01-04-1910,9.493071883
01-05-1910,9.591958048
01-06-1910,9.495069583
01-07-1910,9.593976558
01-08-1910,9.497067704
01-09-1910,9.497067704
01-10-1910,9.40015885
01-11-1910,9.40015885
01-12-1910,9.40015885
01-01-1911,9.40015885
01-02-1911,9.40015885
01-03-1911,9.40015885
01-04-1911,9.40015885
01-05-1911,9.40015885
01-06-1911,9.40015885
01-07-1911,9.40015885
01-08-1911,9.40015885
01-09-1911,9.40015885
01-10-1911,9.49910789
01-11-1911,9.402178218
